Restaurant,url,
Kedai Kopi Lai Foong,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1165225-Reviews-Kedai_Kopi_Lai_Foong-Kuala_Lumpur_Wilayah_Persekutuan.html,
Senya Sake and Dining,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8766253-Reviews-Senya_Sake_and_Dining-Kuala_Lumpur_Wilayah_Persekutuan.html,
Nam Heong Chicken Rice Chinatown,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6474537-Reviews-Nam_Heong_Chicken_Rice_Chinatown-Kuala_Lumpur_Wilayah_Persekutuan.html,
DC Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7743946-Reviews-DC_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Trace Restaurant & Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12221588-Reviews-Trace_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Little Penang Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d911587-Reviews-Little_Penang_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html,
Zipangu,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d919266-Reviews-Zipangu-Kuala_Lumpur_Wilayah_Persekutuan.html,
Restoran Rebung Chef Ismail,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1090062-Reviews-Restoran_Rebung_Chef_Ismail-Kuala_Lumpur_Wilayah_Persekutuan.html,
The Green Man Pub & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1636227-Reviews-The_Green_Man_Pub_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Al-Amar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1106704-Reviews-Al_Amar-Kuala_Lumpur_Wilayah_Persekutuan.html,
WXYZ Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8686400-Reviews-WXYZ_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Village Roast Duck,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6849249-Reviews-Village_Roast_Duck-Kuala_Lumpur_Wilayah_Persekutuan.html,
Marta's Kitchen Paella Tapas,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8626473-Reviews-Marta_s_Kitchen_Paella_Tapas-Kuala_Lumpur_Wilayah_Persekutuan.html,
Arthur’s Bar & Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2413587-Reviews-Arthur_s_Bar_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html,
Cafe etc.,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11844080-Reviews-Cafe_etc-Kuala_Lumpur_Wilayah_Persekutuan.html,
Hornbill restaurant and cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3791828-Reviews-Hornbill_restaurant_and_cafe-Kuala_Lumpur_Wilayah_Persekutuan.html,
Limapulo Baba Can Cook,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6425643-Reviews-Limapulo_Baba_Can_Cook-Kuala_Lumpur_Wilayah_Persekutuan.html,
Sabayon,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d20277548-Reviews-Sabayon-Kuala_Lumpur_Wilayah_Persekutuan.html,
Monnalisa Ristorante Italiano,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11649349-Reviews-Monnalisa_Ristorante_Italiano-Kuala_Lumpur_Wilayah_Persekutuan.html,
Hard Rock Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1116796-Reviews-Hard_Rock_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html,
Malabar Palace Sri Hartamas,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3683260-Reviews-Malabar_Palace_Sri_Hartamas-Kuala_Lumpur_Wilayah_Persekutuan.html,
Nando's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d5432226-Reviews-Nando_s-Kuala_Lumpur_Wilayah_Persekutuan.html,
Barat Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10045807-Reviews-Barat_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Izakaya Hanazen,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13498219-Reviews-Izakaya_Hanazen-Kuala_Lumpur_Wilayah_Persekutuan.html,
Sushi Oribe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8374255-Reviews-Sushi_Oribe-Kuala_Lumpur_Wilayah_Persekutuan.html,
WTF - What Tasty Food,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3642726-Reviews-WTF_What_Tasty_Food-Kuala_Lumpur_Wilayah_Persekutuan.html,
Grandmama's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2413588-Reviews-Grandmama_s-Kuala_Lumpur_Wilayah_Persekutuan.html,
Newens Tea House,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7897536-Reviews-Newens_Tea_House-Kuala_Lumpur_Wilayah_Persekutuan.html,
Rock Salt Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13273990-Reviews-Rock_Salt_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
